name,symbol,slug,category,assetClass,gecko_id,mcap,annualRevenue,annualFees,ps,pf,revYield
Vela Exchange,VELA,vela-exchange,Derivatives,Application,vela-token,17969.737733382324,0,0,,,0
HawkFi,HAWK,hawkfi,Liquidity Manager,Application,hawksight,17819.95519457907,836452,10455648,0.021304217330557006,0.0017043377124573312,46.93906302606492
Jellyverse,JLY,jellyverse,Dexs,Application,jellyverse,15932.103371217652,17348,172200,0.9183827168098716,0.09252092550068323,1.0888706654602966
Iron Bank,IB,iron-bank,Lending,Application,iron-bank,14278.594350767764,22458,138406,0.6357910032401711,0.1031645618742523,1.5728438982365536
Furucombo,COMBO,furucombo,Services,Application,furucombo,13994.207360469056,257,257,54.45216871777843,54.45216871777843,0.018364741451950724
Juice Finance,JUICE,juice-finance,Leveraged Farming,Application,juice-finance,13589.080487594043,2,2,6794.5402437970215,6794.5402437970215,0.00014717699272043253
Amped Finance,AMPED,amped-finance,Derivatives,Application,amped-finance,11569.156888962381,35734,211520,0.32375767865233057,0.05469533324963304,3.0887298307876025
Solarbeam,SOLAR,solarbeam,Dexs,Application,solarbeam,10756.419118832733,1147,5964,9.377871943184598,1.8035578670075005,0.10663400034234352
Stabull Finance,STABUL,stabull-finance,Dexs,Application,stabull-finance,10604.844599118413,8782,29808,1.207565998533183,0.35577175922968374,0.8281120876330478
Xena Finance,XEN,xena-finance,Derivatives,Application,xena-finance,10496.90664931781,105,261,99.97053951731249,40.2180331391487,0.010002946916444561
Crodex,CRX,crodex,Dexs,Application,crodex,9197.57637249769,0,1363,,6.748038424429706,0
Moonwell Apollo,MFAM,moonwell-apollo,Lending,Application,moonwell,7127.989076595345,9699,27707,0.7349199996489685,0.25726311316978906,1.3606923209024737
Rifts Finance,RIFT,rifts-finance,Yield,Application,rifts-finance,6718.400375543571,4187,4187,1.6045857118565967,1.6045857118565967,0.6232138256067002
MEMECAST.AI,MCAI,memecast.ai,Prediction Market,Application,memecast-ai,5122.356508053452,0,0,,,0
Meowl,MEOWL,meowl,Services,Application,meowl,4732.21967139936,0,0,,,0
Nuls,NULS,nuls,Chain,L1/Monetary,nuls,4399.991996657349,0,12,,366.66599972144576,0
Aimbot,AIMBOT,aimbot,Telegram Bot,Application,aimbot,4366.544501300978,0,0,,,0
Flex Perpetuals,FDX,flex-perpetuals,Derivatives,Application,flex-2,3074.540773021691,271782,660529,0.011312525380715761,0.004654664326655894,88.39759172648401
MineLoot,LOOT,mineloot,Gamified Mining,Application,mineloot,1638.335461179001,26996,26996,0.06068808198173807,0.06068808198173807,16.477699860425883
Rockswap,ROCK,rockswap,Dexs,Application,rockswap,1598.3056247546133,0,445,,3.5916980331564345,0
Vaultka,VKA,vaultka,Yield,Application,vaultka,751.4190668745586,0,73168,,0.010269777318972209,0
Cellula,CELA,cellula,Gaming,Application,cellula,569.7831238591223,6721,6721,0.08477653977966408,0.08477653977966408,11.795716156840324
NFTEarth,NFTE,nftearth,NFT Marketplace,Application,nftearth,464.8706419132613,0,0,,,0
BabySwap,BABY,babyswap,Dexs,Application,babyswap,143.34448728756027,0,110985,,0.001291566313353699,0
